Line,Qty,Designator(s),DNP/Variant,MPN,Manufacturer,Description,Value/Rating,Package/Footprint,FootprintLib,Electrical Notes,Mechanical Notes,Alt MPNs,RoHS/REACH,Notes,Rev
1,1,U1,,TODO-MPN,TODO-MFR,Jetson compute module,Orin Nano 8GB module,QFN/BGA,TODO-FOOTPRINT,Host interface + power sequencing constraints,,TODO-ALT-MPN;TODO-ALT-MPN,,,,OrinClaw_R1A
2,1,S1,,TODO-MPN,TODO-MFR,Compute module connector/socket (if moduleized),board-to-module interface,Connector/Socket,TODO-FOOTPRINT,Match Jetson datasheet pinout,,TODO-ALT-MPN,,RoHS-only,Factory verified,,OrinClaw_R1A
3,1,U2,,TODO-MPN,TODO-MFR,ESP32-C6 module,Certified module,Module footprint,TODO-FOOTPRINT,RF layout rules apply,,TODO-ALT-MPN,,RoHS-only,Pinout per chosen C6 module variant,,OrinClaw_R1A
4,1,J1,,TODO-MPN,TODO-MFR,USB-C power input connector,USB-C receptacle w/ through-hole or SMT pads,USB-C footprint,TODO-FOOTPRINT,ESD protection recommended,,TODO-ALT-MPN,,RoHS-only,Panel/keepout notes in PCB floorplan,,OrinClaw_R1A
5,1,U3,,TODO-MPN,TODO-MFR,USB-C PD controller + power path,15W typical / 25W peak (target),QFN/DFN,TODO-FOOTPRINT,Design for transient load + brownout avoidance,,TODO-ALT-MPN,,,,Primary power sequencing and protection,,OrinClaw_R1A
6,1,U4,,TODO-MPN,TODO-MFR,Ethernet PHY,10/100/1000BASE-T,HWQFN/QFP,TODO-FOOTPRINT,Magnetics + layout per PHY reference,,TODO-ALT-MPN,,RoHS-only,MAG recommended footprint + impedance control,,OrinClaw_R1A
7,1,J2,,TODO-MPN,TODO-MFR,RJ45 (or Ethernet) connector,1x port,Magjack footprint,TODO-FOOTPRINT,Panel alignment + keepouts,,TODO-ALT-MPN,,RoHS-only,Consider integrated magnetics vs discrete,,OrinClaw_R1A
8,1,U5,,TODO-MPN,TODO-MFR,Audio codec (I2S) + ADC/DAC,Codec for 2-mic + speaker amp interface,QFN/TQFP,TODO-FOOTPRINT,Isolate analog/digital returns; follow codec layout,,TODO-ALT-MPN,,RoHS-only,Line length + ground strategy documented,,OrinClaw_R1A
9,2,MIC1-MIC2,,TODO-MPN,TODO-MFR,Digital/analog microphone(s) (as chosen),Mic sensitivity + SNR,Module/SIP,TODO-FOOTPRINT,Place per acoustic/mechanical spec,,TODO-ALT-MPN,,RoHS-only,Keep mic traces away from noisy rails,,OrinClaw_R1A
10,1,U6,,TODO-MPN,TODO-MFR,Class-D amplifier (speaker amp),Target speaker power (e.g. 3–10W RMS),HTSSOP/QFN,TODO-FOOTPRINT,Provide LC filter + proper thermal path,,TODO-ALT-MPN,,RoHS-only,Route away from mic analog,,OrinClaw_R1A
11,1,SPK1,,TODO-MPN,TODO-MFR,Speaker / driver (mechanical BOM),Impedance match (e.g. 4Ω or 8Ω),Custom/Component,TODO-FOOTPRINT,Mechanical constraints + mounting pattern,,TODO-ALT-MPN,,RoHS-only,Enclosure acoustic constraints integrated,,OrinClaw_R1A
12,1,J3,,TODO-MPN,TODO-MFR,Status LED / light driver interface connector (if any),Optional,Connector/Pin header,TODO-FOOTPRINT,Keep-out near RF antenna,,TODO-ALT-MPN,,,,Factory test header if used,,OrinClaw_R1A
13,1,U7,,TODO-MPN,TODO-MFR,LED driver(s) for ring/chain,Per LED count + current spec,SOIC/QFN,TODO-FOOTPRINT,Current limit + dimming control,,TODO-ALT-MPN,,RoHS-only,Document max current and thermal,,OrinClaw_R1A
14,1,D1,,DNP_ORINNX? ,TODO-MPN,TODO-MFR,ESD protection device (USB/Ethernet/IO),As per port,DFN/SOT-23,TODO-FOOTPRINT,Protect external ports only,,TODO-ALT-MPN,,RoHS-only,Choose low-capacitance for high-speed lines,,OrinClaw_R1A
15,10,TP1-TP10,,TODO-MPN,TODO-MFR,Test point (pads/holes),Bring-up and calibration points,TP footprint,TODO-FOOTPRINT,Provide accessible probing,,TODO-ALT-MPN,,RoHS-only,Fiducials not required; separate spec,,OrinClaw_R1A
16,1,S2,,TODO-MPN,TODO-MFR,Mute switch (hardware),Momentary or latching,Button footprint,TODO-FOOTPRINT,Debounce handled in DeviceService firmware,,TODO-ALT-MPN,,RoHS-only,Mechanical travel matches enclosure,,OrinClaw_R1A

